group,log2Foldchange
stable,-0.03197520376098467
stable,0.0
stable,0.0
stable,-0.007042583603875734
stable,0.0
stable,0.0
stable,0.021489755565365944
stable,0.024211666010171138
stable,0.021489755565365944
stable,0.030810748727261708
stable,0.03465043032053291
stable,0.0
stable,0.0
stable,0.08149807103351316
stable,0.0
stable,0.0558257327571331
stable,0.019539784136072064
stable,0.0027669655595368775
stable,-0.0006058878762110228
stable,0.0027669655595368775
stable,-0.0006058878762110228
stable,0.031598332675042015
stable,-0.0006103978042960025
stable,0.017503050400382254
stable,0.04309679980472282
stable,0.0
stable,0.0
stable,0.035579666644606336
stable,0.055815243629216395
stable,0.035579666644606336
stable,0.017503050400382254
stable,-0.0006103978042960025
stable,0.04309679980472282
stable,0.0
stable,0.0
stable,0.0
stable,-0.03163406623216703
stable,0.01883324418643084
stable,0.016821737479315414
stable,-0.04303868329608335
stable,0.0
stable,0.0
stable,-0.02362863723241838
stable,0.0
stable,-0.004953707806518972
stable,-0.004953707806518972
stable,-0.02362863723241838
stable,-0.13112191064165069
stable,0.0
stable,-0.061376297055402956
stable,-0.039303439529993905
stable,-0.039303439529993905
stable,-0.07059945762146032
stable,-0.04482246910879985
stable,0.006174049216006067
stable,-0.04482246910879985
stable,-0.13157688433189443
stable,-0.04482246910879985
stable,0.0
stable,-0.002475787867851299
stable,0.07758104403065326
stable,-0.04186795450961508
stable,-0.01953194136916847
stable,0.07535617962502457
stable,0.08088029580718963
stable,0.0
stable,-0.16093636542636
stable,0.0
stable,0.07220240239532488
stable,0.052767457003807174
stable,-0.020387053112783323
stable,-0.0729199782585769
stable,0.0
stable,-0.1267517838289722
stable,-0.06329343173058724
stable,-0.028638438695194616
stable,-0.14539063616948586
stable,-0.03657967835157139
stable,-0.03624500484605602
stable,-0.012494295508119885
stable,0.0
stable,0.04309679980472282
stable,0.004797264851669091
stable,-0.04484268687448301
stable,0.008601631159402991
stable,-0.03013025166332863
stable,0.008601631159402991
stable,0.051232688221301496
stable,0.07727397174255762
stable,0.01201588240142696
stable,0.0412230005807817
stable,0.0
stable,0.06008601296629341
stable,0.0
stable,-0.011790469162715263
stable,0.002350540656248256
stable,0.021577850903260896
stable,-0.07413286928844093
stable,-0.1020022525545211
stable,0.014396208210204391
stable,-0.09219959504364088
stable,-0.023410174203741304
stable,-0.09131173291782724
stable,0.02069084721551271
stable,-0.24167584125095304
