group,log2Foldchange
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.12412937859110346
common_B,-0.12412937859110346
all_gene,0.0
common_B,0.0
all_gene,-0.09494050495846974
common_B,-0.09494050495846974
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.20552975790725025
common_B,0.20552975790725025
all_gene,-0.011670332160603442
common_B,-0.011670332160603442
all_gene,0.05376639018255407
common_B,0.05376639018255407
all_gene,-0.002915711608716063
common_B,-0.002915711608716063
all_gene,-0.0972765359078307
common_B,-0.0972765359078307
all_gene,-0.272454517634819
common_B,-0.272454517634819
all_gene,-0.0972765359078307
common_B,-0.0972765359078307
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.0972765359078307
common_B,-0.0972765359078307
all_gene,0.0
common_B,0.0
all_gene,0.031245991220903935
common_B,0.031245991220903935
all_gene,0.0
common_B,0.0
all_gene,0.06169673682781438
common_B,0.06169673682781438
all_gene,0.0
common_B,0.0
all_gene,-0.0972765359078307
common_B,-0.0972765359078307
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.051757785786197615
common_B,-0.051757785786197615
all_gene,0.0
common_B,0.0
all_gene,0.08385334970438851
common_B,0.08385334970438851
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.09442042260144669
common_B,0.09442042260144669
all_gene,-0.0021393704917958617
common_B,-0.0021393704917958617
all_gene,-0.03431172383265773
common_B,-0.03431172383265773
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.09058194928090268
common_B,-0.09058194928090268
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.10818205779261354
common_B,0.10818205779261354
all_gene,-0.04544083761886183
common_B,-0.04544083761886183
all_gene,-0.28803576715333473
common_B,-0.28803576715333473
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.07067883062965498
common_B,0.07067883062965498
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.06414394527201742
common_B,0.06414394527201742
all_gene,0.0
common_B,0.0
all_gene,-0.21676553783455357
common_B,-0.21676553783455357
all_gene,0.06608807448783897
common_B,0.06608807448783897
all_gene,-0.28803576715333473
common_B,-0.28803576715333473
all_gene,0.04460524050960767
common_B,0.04460524050960767
all_gene,0.10197974581607626
common_B,0.10197974581607626
all_gene,0.0
common_B,0.0
all_gene,0.10197974581607626
common_B,0.10197974581607626
all_gene,-0.06398591178006259
common_B,-0.06398591178006259
all_gene,0.0
common_B,0.0
all_gene,-0.07401294530153152
common_B,-0.07401294530153152
