group,log2Foldchange
all_gene,0.0
common_B,0.0
all_gene,-0.06223059212221018
common_B,-0.06223059212221018
all_gene,0.0
common_B,0.0
all_gene,0.03816513323937002
common_B,0.03816513323937002
all_gene,0.0
common_B,0.0
all_gene,-0.08239237441072074
common_B,-0.08239237441072074
all_gene,-0.03589547065378713
common_B,-0.03589547065378713
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.04437085476950598
common_B,0.04437085476950598
all_gene,0.0
common_B,0.0
all_gene,-0.13446082285687402
common_B,-0.13446082285687402
all_gene,0.014471064031343727
common_B,0.014471064031343727
all_gene,-0.19302263417006182
common_B,-0.19302263417006182
all_gene,-0.16126026366630494
common_B,-0.16126026366630494
all_gene,-0.19302263417006182
common_B,-0.19302263417006182
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.19302263417006182
common_B,-0.19302263417006182
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.05057956312326896
common_B,-0.05057956312326896
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.05115893365059275
common_B,0.05115893365059275
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.06727608147891183
common_B,-0.06727608147891183
all_gene,-0.06073824929771868
common_B,-0.06073824929771868
all_gene,0.08408619889550954
common_B,0.08408619889550954
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.14433843600867446
common_B,-0.14433843600867446
all_gene,-0.12898096569662365
common_B,-0.12898096569662365
all_gene,-0.045504328420607545
common_B,-0.045504328420607545
all_gene,-0.11272733518080676
common_B,-0.11272733518080676
all_gene,0.051904965840738115
common_B,0.051904965840738115
all_gene,-0.050315795905558
common_B,-0.050315795905558
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.1693470803764523
common_B,-0.1693470803764523
all_gene,-0.18763807796895607
common_B,-0.18763807796895607
all_gene,-0.045504328420607545
common_B,-0.045504328420607545
all_gene,0.0
common_B,0.0
all_gene,0.13767045087306096
common_B,0.13767045087306096
all_gene,0.0
common_B,0.0
all_gene,0.13767045087306096
common_B,0.13767045087306096
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.13767045087306096
common_B,0.13767045087306096
all_gene,0.0
common_B,0.0
all_gene,0.04759508687297513
common_B,0.04759508687297513
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.08749956451372493
common_B,-0.08749956451372493
all_gene,0.13767045087306096
