group,log2Foldchange
all_gene,-0.12058547565504171
common_B,-0.12058547565504171
all_gene,-0.23812595767280517
common_B,-0.23812595767280517
all_gene,0.0
common_B,0.0
all_gene,0.005510705084405726
common_B,0.005510705084405726
all_gene,-0.09032621016917496
common_B,-0.09032621016917496
all_gene,-0.02631644669081408
common_B,-0.02631644669081408
all_gene,-0.10027256474653777
common_B,-0.10027256474653777
all_gene,-0.11062046933480611
common_B,-0.11062046933480611
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.2285927643819269
common_B,-0.2285927643819269
all_gene,-0.26472568378627875
common_B,-0.26472568378627875
all_gene,-0.31873817231678914
common_B,-0.31873817231678914
all_gene,-0.03977588652555948
common_B,-0.03977588652555948
all_gene,-0.2909716313493492
common_B,-0.2909716313493492
all_gene,0.1588191320644895
common_B,0.1588191320644895
all_gene,-0.2909716313493492
common_B,-0.2909716313493492
all_gene,-0.04536553348868357
common_B,-0.04536553348868357
all_gene,-0.10108976042632853
common_B,-0.10108976042632853
all_gene,-0.142242757271508
common_B,-0.142242757271508
all_gene,0.0
common_B,0.0
all_gene,-0.2909716313493492
common_B,-0.2909716313493492
all_gene,-0.04540045143427556
common_B,-0.04540045143427556
all_gene,-0.22874715758652117
common_B,-0.22874715758652117
all_gene,0.0
common_B,0.0
all_gene,-0.29391049258150503
common_B,-0.29391049258150503
all_gene,-0.11059308384782443
common_B,-0.11059308384782443
all_gene,-0.2909716313493492
common_B,-0.2909716313493492
all_gene,0.0
common_B,0.0
all_gene,-0.23397901666080484
common_B,-0.23397901666080484
all_gene,0.0
common_B,0.0
all_gene,-0.05290527056885466
common_B,-0.05290527056885466
all_gene,0.07283401467089513
common_B,0.07283401467089513
all_gene,0.0
common_B,0.0
all_gene,-0.06414222618731463
common_B,-0.06414222618731463
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.2631314212452275
common_B,-0.2631314212452275
all_gene,-0.18033592638640839
common_B,-0.18033592638640839
all_gene,0.05828105605443752
common_B,0.05828105605443752
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.06306301341286999
common_B,0.06306301341286999
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.051598201294560886
common_B,0.051598201294560886
all_gene,0.0
common_B,0.0
all_gene,-0.1637809207905795
common_B,-0.1637809207905795
all_gene,-0.045478248600358234
common_B,-0.045478248600358234
all_gene,-0.009611125625206633
common_B,-0.009611125625206633
all_gene,-0.17751800608144255
common_B,-0.17751800608144255
all_gene,0.0
common_B,0.0
all_gene,-0.18701316680623192
common_B,-0.18701316680623192
all_gene,-0.12723032269893525
common_B,-0.12723032269893525
all_gene,-0.04540045143427556
common_B,-0.04540045143427556
all_gene,-0.07822904356620905
common_B,-0.07822904356620905
all_gene,0.0
common_B,0.0
all_gene,-0.2912308864944342
common_B,-0.2912308864944342
all_gene,-0.22032549367479565
common_B,-0.22032549367479565
all_gene,-0.009611125625206633
common_B,-0.009611125625206633
all_gene,-0.11970403759532745
common_B,-0.11970403759532745
all_gene,0.07849941886615498
common_B,0.07849941886615498
all_gene,0.0
common_B,0.0
all_gene,0.07849941886615498
common_B,0.07849941886615498
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.14882474333419252
common_B,-0.14882474333419252
all_gene,0.07849941886615498
common_B,0.07849941886615498
all_gene,-0.2033777592679303
common_B,-0.2033777592679303
all_gene,-0.06556706810362702
common_B,-0.06556706810362702
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.07810302645763081
common_B,-0.07810302645763081
all_gene,-0.08106386012652186
common_B,-0.08106386012652186
all_gene,0.07849941886615498
common_B,0.07849941886615498
all_gene,-0.06412276888743573
common_B,-0.06412276888743573
all_gene,0.051137831541134125
common_B,0.051137831541134125
all_gene,0.1117044569126899
common_B,0.1117044569126899
all_gene,-0.2954884172452017
common_B,-0.2954884172452017
all_gene,0.0
common_B,0.0
all_gene,-0.11772458026765874
common_B,-0.11772458026765874
all_gene,-0.21772006375367478
common_B,-0.21772006375367478
all_gene,0.2774544144202863
common_B,0.2774544144202863
all_gene,0.0
common_B,0.0
all_gene,-0.11772458026765874
common_B,-0.11772458026765874
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.10901107669063784
common_B,0.10901107669063784
all_gene,-0.05529892109784922
common_B,-0.05529892109784922
all_gene,-0.14802763582674583
common_B,-0.14802763582674583
all_gene,0.006226394560988113
common_B,0.006226394560988113
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.14802763582674583
common_B,-0.14802763582674583
all_gene,0.0
common_B,0.0
all_gene,-0.04535334848289118
common_B,-0.04535334848289118
all_gene,-0.11725866888738962
common_B,-0.11725866888738962
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.17266198017111203
common_B,-0.17266198017111203
all_gene,-0.04459331416412675
common_B,-0.04459331416412675
all_gene,0.0
common_B,0.0
all_gene,-0.18881640985783263
common_B,-0.18881640985783263
all_gene,-0.07811037957310327
common_B,-0.07811037957310327
all_gene,-0.35487357103083805
common_B,-0.35487357103083805
all_gene,-0.20002947905211538
common_B,-0.20002947905211538
all_gene,-0.024287172893190743
common_B,-0.024287172893190743
all_gene,0.06953978459298733
common_B,0.06953978459298733
all_gene,-0.0619757535566653
common_B,-0.0619757535566653
all_gene,-0.09700780809154745
common_B,-0.09700780809154745
all_gene,-0.22558176707137362
common_B,-0.22558176707137362
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.15866482156390904
common_B,-0.15866482156390904
all_gene,0.0
common_B,0.0
all_gene,0.02327136551805123
common_B,0.02327136551805123
all_gene,-0.024287172893190743
common_B,-0.024287172893190743
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.07834218628669447
common_B,-0.07834218628669447
all_gene,-0.06364593931875986
common_B,-0.06364593931875986
all_gene,-0.2619427001967897
common_B,-0.2619427001967897
all_gene,0.0315256319702302
common_B,0.0315256319702302
all_gene,-0.06414333184737718
common_B,-0.06414333184737718
all_gene,-0.11032597015834826
common_B,-0.11032597015834826
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.1945703624491539
common_B,-0.1945703624491539
all_gene,-0.06140149209779034
common_B,-0.06140149209779034
all_gene,0.07010762889199422
common_B,0.07010762889199422
all_gene,-0.1190748341220516
common_B,-0.1190748341220516
all_gene,0.13442024949310136
common_B,0.13442024949310136
all_gene,0.0
common_B,0.0
all_gene,-0.28218269171476884
common_B,-0.28218269171476884
all_gene,-0.10721264462646331
common_B,-0.10721264462646331
all_gene,-0.14508772066116507
common_B,-0.14508772066116507
all_gene,-0.11916983039783989
common_B,-0.11916983039783989
all_gene,0.0
common_B,0.0
all_gene,0.07010762889199422
common_B,0.07010762889199422
all_gene,-0.070960484978255
common_B,-0.070960484978255
all_gene,-0.025190386357658936
common_B,-0.025190386357658936
all_gene,0.13442024949310136
common_B,0.13442024949310136
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.13466617427260996
common_B,-0.13466617427260996
all_gene,-0.070960484978255
common_B,-0.070960484978255
all_gene,-0.15093496643836313
common_B,-0.15093496643836313
all_gene,-0.1249948669704567
common_B,-0.1249948669704567
all_gene,-0.09028521066876345
common_B,-0.09028521066876345
all_gene,-0.10068177247669341
common_B,-0.10068177247669341
all_gene,-0.1349748683541107
common_B,-0.1349748683541107
all_gene,0.2054761491610612
common_B,0.2054761491610612
all_gene,-0.13332777563041376
common_B,-0.13332777563041376
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.0452676244362305
common_B,-0.0452676244362305
all_gene,-0.3647731639153698
common_B,-0.3647731639153698
all_gene,-0.1052189475815494
common_B,-0.1052189475815494
all_gene,0.0
common_B,0.0
all_gene,-0.19116229129186985
common_B,-0.19116229129186985
all_gene,-0.057075056253130196
common_B,-0.057075056253130196
all_gene,0.033310904950029245
common_B,0.033310904950029245
all_gene,0.0
common_B,0.0
all_gene,-0.332465734911441
common_B,-0.332465734911441
all_gene,0.0
common_B,0.0
all_gene,-0.11970936901052003
common_B,-0.11970936901052003
all_gene,0.0
common_B,0.0
all_gene,-0.06216635918240155
common_B,-0.06216635918240155
all_gene,-0.23362131989754728
common_B,-0.23362131989754728
all_gene,0.0
common_B,0.0
all_gene,-0.07818711595676155
common_B,-0.07818711595676155
all_gene,0.027181696890298042
common_B,0.027181696890298042
all_gene,-0.0904972297610673
common_B,-0.0904972297610673
all_gene,-0.15919997113119325
common_B,-0.15919997113119325
all_gene,-0.1955222177145416
common_B,-0.1955222177145416
all_gene,0.1207100531144419
common_B,0.1207100531144419
all_gene,-0.19116229129186985
common_B,-0.19116229129186985
all_gene,-0.013701072296237276
common_B,-0.013701072296237276
all_gene,-0.1955222177145416
common_B,-0.1955222177145416
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,0.0
common_B,0.0
all_gene,-0.14180918455794037
common_B,-0.14180918455794037
all_gene,-0.11868177705188566
common_B,-0.11868177705188566
all_gene,0.0
common_B,0.0
all_gene,-0.1298594329977167
common_B,-0.1298594329977167
